cts_id,name_fr,name_en,latin_name,abbreviation,birth_year,death_year,period
phi0474,Cicéron,Cicero,M. Tullius Cicero,Cic.,-106,-43,classical
phi0448,César,Caesar,C. Iulius Caesar,Caes.,-100,-44,classical
phi0631,Salluste,Sallust,C. Sallustius Crispus,Sall.,-86,-35,classical
phi0914,Tite-Live,Livy,T. Livius,Liv.,-59,17,classical
phi1017,Sénèque,Seneca,L. Annaeus Seneca,Sen.,-4,65,imperial
phi1318,Pline le Jeune,Pliny the Younger,C. Plinius Caecilius Secundus,Plin.,61,113,imperial
phi0119,Plaute,Plautus,T. Maccius Plautus,Plaut.,-254,-184,archaic
phi0134,Térence,Terence,P. Terentius Afer,Ter.,-195,-159,archaic
phi0550,Lucrèce,Lucretius,T. Lucretius Carus,Lucr.,-99,-55,classical
phi0472,Catulle,Catullus,C. Valerius Catullus,Catull.,-84,-54,classical
phi0478,Quintus Cicéron,Quintus Cicero,Q. Tullius Cicero,Q. Cic.,-102,-43,classical
phi0588,Cornélius Népos,Cornelius Nepos,Cornelius Nepos,Nep.,-110,-24,classical
phi0428,Pseudo-César,Pseudo-Caesar,[C. Iulius Caesar],[Caes.],,,classical
phi1056,Vitruve,Vitruvius,Vitruvius Pollio,Vitr.,-80,-15,classical
phi0690,Virgile,Virgil,P. Vergilius Maro,Verg.,-70,-19,classical
phi0893,Horace,Horace,Q. Horatius Flaccus,Hor.,-65,-8,classical
phi0660,Tibulle,Tibullus,Tibullus,Tib.,-55,-19,classical
phi0620,Properce,Propertius,Sex. Propertius,Prop.,-50,-15,classical
phi0959,Ovide,Ovid,P. Ovidius Naso,Ov.,-43,17,classical
phi1014,Sénèque le Père,Seneca the Elder,L. Annaeus Seneca maior,Sen. Rhet.,-54,39,imperial
phi0836,Celse,Celsus,A. Cornelius Celsus,Cels.,-25,50,imperial
phi0975,Phèdre,Phaedrus,Phaedrus,Phaedr.,-15,50,imperial
phi1038,Valère Maxime,Valerius Maximus,Valerius Maximus,Val. Max.,,,imperial
phi0845,Columelle,Columella,L. Iunius Moderatus Columella,Colum.,4,70,imperial
phi0978,Pline l’Ancien,Pliny the Elder,C. Plinius Secundus,Plin.,23,79,imperial
phi1345,Silius Italicus,Silius Italicus,Ti. Catius Asconius Silius Italicus,Sil.,26,101,imperial
phi0969,Perse,Persius,A. Persius Flaccus,Pers.,34,62,imperial
phi1002,Quintilien,Quintilian,M. Fabius Quintilianus,Quint.,35,96,imperial
phi0917,Lucain,Lucan,M. Annaeus Lucanus,Lucan.,39,65,imperial
phi1294,Martial,Martial,M. Valerius Martialis,Mart.,40,104,imperial
phi1020,Stace,Statius,P. Papinius Statius,Stat.,45,96,imperial
phi0972,Pétrone,Petronius,Petronius Arbiter,Petron.,,66,imperial
phi0860,Quinte-Curce,Curtius Rufus,Q. Curtius Rufus,Curt.,,,imperial
phi1035,Valérius Flaccus,Valerius Flaccus,C. Valerius Flaccus,Val. Fl.,,90,imperial
phi1276,Juvénal,Juvenal,D. Iunius Iuvenalis,Iuv.,55,130,imperial
phi1351,Tacite,Tacitus,P. Cornelius Tacitus,Tac.,56,120,imperial
phi1348,Suétone,Suetonius,C. Suetonius Tranquillus,Suet.,70,130,imperial
phi1242,Florus,Florus,L. Annaeus Florus,Flor.,74,130,imperial
phi1212,Apulée,Apuleius,Apuleius,Apul.,124,170,imperial
phi1254,Aulu-Gelle,Aulus Gellius,A. Gellius,Gell.,125,180,imperial
