cts_urn,author,edition_file,title,abbreviation,genre,register,form,date_from,date_to,is_core,is_fragmentary,exclude
urn:cts:latinLit:phi0474.phi001,phi0474,data/phi0474/phi001/phi0474.phi001.perseus-lat2.xml,Pro P. Quinctio,Quinct.,oratory,elevated,prose,-81,-81,oui,non,
urn:cts:latinLit:phi0474.phi002,phi0474,data/phi0474/phi002/phi0474.phi002.perseus-lat2.xml,Pro Sex. Roscio Amerino,S. Rosc.,oratory,elevated,prose,-80,-80,oui,non,
urn:cts:latinLit:phi0474.phi003,phi0474,data/phi0474/phi003/phi0474.phi003.perseus-lat2.xml,Pro Q. Roscio comoedo,Q. Rosc.,oratory,elevated,prose,-77,-66,oui,non,
urn:cts:latinLit:phi0474.phi004,phi0474,data/phi0474/phi004/phi0474.phi004.perseus-lat2.xml,Divinatio in Q. Caecilium,Div. Caec.,oratory,elevated,prose,-70,-70,oui,non,
urn:cts:latinLit:phi0474.phi005,phi0474,data/phi0474/phi005/phi0474.phi005.perseus-lat2.xml,In Verrem,Verr.,oratory,elevated,prose,-70,-70,oui,non,
urn:cts:latinLit:phi0474.phi006,phi0474,data/phi0474/phi006/phi0474.phi006.perseus-lat2.xml,Pro M. Tullio,Tul.,oratory,elevated,prose,-71,-71,oui,oui,
urn:cts:latinLit:phi0474.phi007,phi0474,data/phi0474/phi007/phi0474.phi007.perseus-lat2.xml,Pro M. Fonteio,Font.,oratory,elevated,prose,-69,-69,oui,oui,
urn:cts:latinLit:phi0474.phi008,phi0474,data/phi0474/phi008/phi0474.phi008.perseus-lat2.xml,Pro A. Caecina,Caec.,oratory,elevated,prose,-69,-69,oui,non,
urn:cts:latinLit:phi0474.phi009,phi0474,data/phi0474/phi009/phi0474.phi009.perseus-lat2.xml,De imperio Cn. Pompei,Man.,oratory,elevated,prose,-66,-66,oui,non,
urn:cts:latinLit:phi0474.phi010,phi0474,data/phi0474/phi010/phi0474.phi010.perseus-lat2.xml,Pro A. Cluentio,Clu.,oratory,elevated,prose,-66,-66,oui,non,
urn:cts:latinLit:phi0474.phi011,phi0474,data/phi0474/phi011/phi0474.phi011.perseus-lat2.xml,De lege agraria,Agr.,oratory,elevated,prose,-63,-63,oui,oui,
urn:cts:latinLit:phi0474.phi012,phi0474,data/phi0474/phi012/phi0474.phi012.perseus-lat2.xml,Pro C. Rabirio perduellionis reo,Rab. Perd.,oratory,elevated,prose,-63,-63,oui,oui,
urn:cts:latinLit:phi0474.phi013,phi0474,data/phi0474/phi013/phi0474.phi013.perseus-lat2.xml,In Catilinam,Catil.,oratory,elevated,prose,-63,-63,oui,non,
urn:cts:latinLit:phi0474.phi014,phi0474,data/phi0474/phi014/phi0474.phi014.perseus-lat2.xml,Pro L. Murena,Mur.,oratory,elevated,prose,-63,-63,oui,non,
urn:cts:latinLit:phi0474.phi015,phi0474,data/phi0474/phi015/phi0474.phi015.perseus-lat2.xml,Pro P. Sulla,Sul.,oratory,elevated,prose,-62,-62,oui,non,
urn:cts:latinLit:phi0474.phi016,phi0474,data/phi0474/phi016/phi0474.phi016.perseus-lat2.xml,Pro A. Licinio Archia poeta,Arch.,oratory,elevated,prose,-62,-62,oui,non,
urn:cts:latinLit:phi0474.phi017,phi0474,data/phi0474/phi017/phi0474.phi017.perseus-lat2.xml,Pro L. Flacco,Flac.,oratory,elevated,prose,-59,-59,oui,non,
urn:cts:latinLit:phi0474.phi018,phi0474,data/phi0474/phi018/phi0474.phi018.perseus-lat2.xml,Post reditum ad populum,Red. Pop.,oratory,elevated,prose,-57,-57,oui,non,
urn:cts:latinLit:phi0474.phi019,phi0474,data/phi0474/phi019/phi0474.phi019.perseus-lat2.xml,Post reditum in senatu,Red. Sen.,oratory,elevated,prose,-57,-57,oui,non,
urn:cts:latinLit:phi0474.phi020,phi0474,data/phi0474/phi020/phi0474.phi020.perseus-lat2.xml,De domo sua,Dom.,oratory,elevated,prose,-57,-57,oui,non,
urn:cts:latinLit:phi0474.phi021,phi0474,data/phi0474/phi021/phi0474.phi021.perseus-lat2.xml,De haruspicum responso,Har.,oratory,elevated,prose,-56,-56,oui,non,
urn:cts:latinLit:phi0474.phi022,phi0474,data/phi0474/phi022/phi0474.phi022.perseus-lat2.xml,Pro P. Sestio,Sest.,oratory,elevated,prose,-56,-56,oui,non,
